Título;Gênero;Estreia;Idioma;Ativo;Status;dt_inclusao;Data de Alteração
Dance & Sing with True;chrildrens musical short;2018-05-18;English;1;Pending;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Super Monsters Monster Party;chrildrens musical short;2018-09-14;English;1;Pending;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
True Tunes;chrildrens musical short;2019-07-12;English;1;Pending;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Word Party;childrens-animation;2016-07-08;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Ask the StoryBots;childrens-animation;2016-08-12;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Legend Quest;childrens-animation;2017-02-24;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Spirit Riding Free;childrens-animation;2017-05-05;English;1;Pending;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
True and the Rainbow Kingdom;childrens-animation;2017-08-11;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Super Monsters;childrens-animation;2017-10-13;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Stretch Armstrong and the Flex Fighters;childrens-animation;2017-11-17;English;1;Pending;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Trolls: The Beat Goes On!;childrens-animation;2018-01-19;English;1;Pending;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Llama Llama;childrens-animation;2018-01-26;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
The Boss Baby: Back in Business;childrens-animation;2018-04-06;English;1;Pending;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Spy Kids: Mission Critical;childrens-animation;2018-04-20;English;1;Pending;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
The Hollow;childrens-animation;2018-06-08;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Harvey Girls Forever!;childrens-animation;2018-06-29;English;1;Pending;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
The Epic Tales of Captain Underpants;childrens-animation;2018-07-13;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Cupcake & Dino: General Services;childrens-animation;2018-07-27;English;1;Pending;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
The Dragon Prince;childrens-animation;2018-09-14;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Hilda;childrens-animation;2018-09-21;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Larva Island;childrens-animation;2018-10-19;English;1;Pending;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
She-Ra and the Princesses of Power;childrens-animation;2018-11-13;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Kulipari: Dream Walker;childrens-animation;2018-11-20;English;1;Pending;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Motown Magic;childrens-animation;2018-11-20;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
3Below: Tales of Arcadia;childrens-animation;2018-12-21;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Pinky Malinky;childrens-animation;2019-01-01;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
Carmen Sandiego;childrens-animation;2019-01-18;English;1;Renewed;2021-03-17 00:20:24;2023-04-20 17:42:17.691898
